Config_Name,Pass@1,AUROC,TPR(FPR<0.1%),TPR(FPR<1%),TPR(FPR<5%)
g0.5_d2.5_t0.6_w0.7,0.2893,0.8641247769185008,0.42073170731707316,0.4634146341463415,0.5853658536585366,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d2.5_t0.6_w0.8,0.296,0.7970701963117193,0.38414634146341464,0.43902439024390244,0.5426829268292683,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.3_w0.7,0.236,0.8970107079119571,0.6158536585365854,0.6219512195121951,0.7621951219512195,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.3_w0.8,0.222,0.8968805770374777,0.43902439024390244,0.5670731707317073,0.676829268292683,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.4_w0.7,0.2567,0.8898349196906603,0.5975609756097561,0.6585365853658537,0.7134146341463414,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.4_w0.8,0.2329,0.9042236763831053,0.4573170731707317,0.5121951219512195,0.6829268292682927,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.5_w0.7,0.2829,0.8987953599048186,0.5853658536585366,0.5853658536585366,0.676829268292683,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.5_w0.8,0.264,0.8392511897679952,0.4268292682926829,0.4268292682926829,0.6097560975609756,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.6_w0.7,0.2646,0.8579528554431884,0.45121951219512196,0.5060975609756098,0.6036585365853658,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.6_w0.8,0.2695,0.8727691850089232,0.4451219512195122,0.5121951219512195,0.7012195121951219,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.8_w0.7,0.2689,0.8302163890541345,0.3475609756097561,0.3719512195121951,0.4451219512195122,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.0_t0.8_w0.8,0.2945,0.8260336109458655,0.29878048780487804,0.29878048780487804,0.47560975609756095,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.5_t0.5_w0.7,0.2457,0.8809674301011303,0.573170731707317,0.573170731707317,0.6524390243902439,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d3.5_t0.5_w0.8,0.243,0.8976241820345032,0.5365853658536586,0.5426829268292683,0.7134146341463414,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d4.0_t0.3_w0.7,0.1677,0.9035730220107079,0.6341463414634146,0.6341463414634146,0.7987804878048781,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d4.0_t0.3_w0.8,0.1573,0.9118456276026174,0.5,0.6463414634146342,0.6951219512195121,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d4.0_t0.4_w0.7,0.1921,0.903982004759072,0.6524390243902439,0.7073170731707317,0.7682926829268293,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d4.0_t0.4_w0.8,0.1738,0.9005428316478287,0.4573170731707317,0.5609756097560976,0.6524390243902439,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d4.0_t0.5_w0.7,0.2226,0.8857450922070196,0.6402439024390244,0.6463414634146342,0.7012195121951219,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d4.0_t0.6_w0.8,0.2232,0.8715608268887567,0.5,0.5487804878048781,0.6707317073170732,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d4.0_t0.8_w0.7,0.2445,0.8485462522308149,0.4573170731707317,0.4817073170731707,0.5365853658536586,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
g0.5_d4.0_t0.8_w0.8,0.2622,0.8280227543129088,0.36585365853658536,0.3780487804878049,0.573170731707317,dict_keys(['pass@1', 'pass@10', 'watermark_detection', 'pass_info'])
